Tm,Stadium,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
Arizona Cardinals,State Farm Stadium,"1,090,961","500,981","589,980","67,216","60,115","58,012","70,003","62,716","67,431","60,297","63,696","59,012","62,400","68,833",Bye,"60,803","63,999","45,211","63,900","93,459","63,858"
Atlanta Falcons,Mercedes-Benz Stadium,"1,173,982","540,764","633,218","68,633","63,694","75,307","68,333","60,589",Bye,"62,739","68,583","69,170","93,436","68,286","60,031","69,366","72,243","71,650","68,638","64,948","68,336"
Baltimore Ravens,M&T Bank Stadium,"1,141,157","634,840","506,317","61,756","70,417","50,788","76,490","70,510","70,704","70,659",Bye,"70,599","65,948","60,679","70,355","59,303","67,431","70,815","63,922","70,328","70,453"
Buffalo Bills,Highmark Stadium,"1,093,983","610,352","483,631","69,787","65,040","68,434","68,087","73,389","69,419",Bye,"69,355","63,110","77,625","69,866","69,170","69,694",,"65,398","65,878","64,948","64,783"
Carolina Panthers,Bank of America Stadium,"1,202,133","575,249","626,884","70,211","70,675","68,320","93,262","72,545","72,104","71,889","68,583","72,203","62,400","73,350","62,389",Bye,"72,243","65,398","71,918","69,170","65,473"
Chicago Bears,Soldier Field,"1,079,841","486,675","593,166","70,445","60,840","67,431","61,468","59,122","62,332","65,635","60,877","60,788",Bye,"60,679","56,355","60,803","78,273","60,082","68,492","59,594","66,625"
Cincinnati Bengals,Paul Brown Stadium,"1,056,115","542,929","513,186","56,525","60,840","58,076","63,198","64,195","50,831","70,659","67,503","65,451",Bye,"61,712","63,238","51,414","50,481","76,134","63,922","64,505","67,431"
Cleveland Browns,FirstEnergy Stadium,"1,092,573","539,448","553,125","72,973","67,431","67,431","66,703","70,240","67,431","67,431","67,431","65,451","65,878","67,431","70,355",Bye,"67,431",,"77,901","63,624","67,431"
Dallas Cowboys,AT&T Stadium,"1,366,866","747,368","619,498","65,566","70,240","93,267","93,262","93,476","65,878",Bye,"66,633","93,503","93,436","73,494","93,483","69,170","61,308","77,413","93,482","93,459","69,796"
Denver Broncos,Empower Field at Mile High,"1,243,881","686,129","557,752","74,119","58,461","75,882","76,490","59,841","76,854","67,431","75,973","93,503","76,766",Bye,"75,807","73,185","76,211","76,134","60,972","70,240","76,012"
Detroit Lions,Ford Field,"1,027,002","412,177","614,825","59,374","77,240","50,788","61,468","66,538","50,831","70,540","47,192",Bye,"58,716","67,431","56,355","45,691","76,211","45,211","68,638","68,043","56,735"
Green Bay Packers,Lambeau Field,"1,187,232","623,929","563,303","35,242","77,240","69,853","78,281","64,195","62,332","78,219","63,696","73,476","78,235","66,959","77,948",Bye,"78,273","70,815","77,901","77,832","56,735"
Houston Texans,NRG Stadium,"1,114,558","601,305","513,253","68,105","67,431","68,320","68,087","68,450","57,947","60,297","66,013","60,232",Bye,"67,395","65,120","65,291","67,610","60,252","65,674","71,612","66,722"
Indianapolis Colts,Lucas Oil Stadium,"1,081,420","562,276","519,144","63,347","63,076","67,914","64,571","70,510","57,947","56,576","59,175","59,593","60,622","69,866","66,140","65,291",Bye,"66,391","63,900","65,985","60,516"
Jacksonville Jaguars,TIAA Bank Stadium,"1,070,491","539,716","530,775","68,105","58,461","58,012","63,198","58,282","60,784",Bye,"67,243","63,110","60,622","60,268","60,031","70,801","67,808","60,252","67,120","65,878","60,516"
Kansas City Chiefs,GEHA Field at Arrowhead Stadium,"1,192,945","659,044","533,901","72,973","70,417","72,980","69,796","73,389","51,322","69,484","72,898","73,476","62,125","73,494",Bye,"73,185","73,278","70,240","73,371","64,505","76,012"
Las Vegas Raiders,Allegiant Stadium,"1,068,732","550,673","518,059","61,756","63,707","59,311","70,240","59,122","76,854","62,000",Bye,"74,512","62,125","61,712","93,483","61,607","73,278",,"60,972","65,985","62,068"
Los Angeles Chargers,SoFi Stadium,"1,153,356","632,160","521,196","52,753","70,240","72,980","70,240","70,240","70,704",Bye,"70,240","69,796","70,240","70,240","75,807","51,414","70,240","70,240","65,674","70,240","62,068"
Los Angeles Rams,SoFi Stadium,"1,187,786","572,791","614,995","70,445","63,076","73,205","70,003","68,747","73,920","70,540","66,013","71,785","64,256",Bye,"77,948","70,801","63,999","71,565","66,708","70,328","74,447"
Miami Dolphins,Hard Rock Stadium,"1,110,828","579,366","531,462","65,878","65,040","59,311","64,571","65,570","60,784","62,739","69,355","60,232","65,948","72,303","62,389","65,898",Bye,"66,035","69,170","69,091","66,514"
Minnesota Vikings,U.S. Bank Stadium,"1,118,294","533,613","584,681","56,525","60,115","66,729","66,703","66,538","72,104",Bye,"66,633","70,599","70,240","66,959","71,493","45,691","66,718","60,082","66,708","77,832","66,625"
New England Patriots,Gillette Stadium,"1,150,306","592,902","557,404","65,878","75,626","65,878","65,878","68,450","65,878","65,878","70,240","72,203","65,878","68,286","65,878","69,694",Bye,"66,391","65,878","65,878","66,514"
New Orleans Saints,Caesars Superdome,"1,117,104","519,432","597,672","35,242","70,675","65,878","69,170","50,137",Bye,"68,563","69,170","69,170","69,414","69,796","69,170","69,170","69,129","65,744","69,170","69,170","68,336"
New York Giants,MetLife Stadium,"1,207,885","591,052","616,833","74,119","50,118","75,307","69,170","93,476","73,920","71,889","72,898","74,512",Bye,"65,643","73,969","65,898","70,240","77,413","69,796","59,594","69,923"
New York Jets,MetLife Stadium,"1,173,183","645,092","528,091","70,211","75,626","75,882","70,232","60,589",Bye,"65,878","67,503","59,593","77,625","72,303","65,120","73,311","69,129","66,035","67,120","72,243","64,783"
Philadelphia Eagles,Lincoln Financial Field,"1,177,614","558,368","619,246","68,633","69,796","93,267","69,796","72,545","69,796","62,000","47,192","69,796","76,766","69,796","73,969","73,311",Bye,"69,796","69,796","51,563","69,796"
Pittsburgh Steelers,Heinz Field,"1,103,916","544,397","559,519","69,787","63,707","58,076","78,281","59,841","60,821",Bye,"67,431","60,788","58,716","70,240","63,238","59,303","66,718","59,521","73,371","63,624","70,453"
San Francisco 49ers,Levi's Stadium,"1,109,442","533,364","576,078","59,374","69,796","69,853","68,912","62,716",Bye,"56,576","60,877","59,012","64,256","60,268","71,493","68,758","50,481","71,650","69,361","71,612","74,447"
Seattle Seahawks,Lumen Field,"1,141,021","547,264","593,757","63,347","68,585","66,729","68,912","68,747","60,821","68,563","67,243",Bye,"78,235","68,833","52,680","68,758","67,610","71,565","68,492","68,043","63,858"
